,Outbound Flight Date,Return Flight Date,"Price, €",Outbound Flight Airlines,Outbound Flight Departure Time,Outbound Flight Arrival Time,Outbound Flight Arrival + Days,Outbound Flight Duration,Outbound Flight Stops,Outbound Flight Connecting Airports,Outbound Flight Departure Airport,Outbound Flight Arrival Airport,Return Flight Airlines,Return Flight Departure Time,Return Flight Arrival Time,Return Flight Arrival + Days,Return Flight Duration,Return Flight Stops,Return Flight Connecting Airports,Return Flight Departure Airport,Return Flight Arrival Airport,"Outbound Flight Duration, min","Return Flight Duration, min"
1498,2024-05-17,2024-05-24,1617,Finnair + Japan Airlines,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Turkish Airlines,13:30,13:50,1,18h 45,1,IST,HND,VNO,1100,1125
1499,2024-05-17,2024-05-24,838,Turkish Airlines,11:35,07:55,2,38h 20,2,"IST, KIX",VNO,HND,Turkish Airlines,11:35,07:55,1,33h 15,2,"KIX, IST",HND,VNO,2300,1995
1500,2024-05-17,2024-05-24,1033,Scandinavian Airlines,21:50,07:55,2,28h 05,2,"ARN, CPH",VNO,HND,Air China + Scandinavian Airlines,21:50,07:55,1,30h 10,2,"PVG, CPH",NRT,VNO,1685,1810
1501,2024-05-17,2024-05-24,1490,Lufthansa + ANA (All Nippon Airways),06:00,08:10,1,20h 10,1,FRA,VNO,HND,ANA (All Nippon Airways),06:00,08:10,0,20h 15,1,FRA,HND,VNO,1210,1215
1502,2024-05-17,2024-05-24,1505,British Airways + Japan Airlines,10:10,13:05,1,20h 55,1,HEL,VNO,NRT,Japan Airlines + Lufthansa,10:10,13:05,0,19h 25,1,FRA,NRT,VNO,1255,1165
1503,2024-05-17,2024-05-24,1672,Finnair,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,Turkish Airlines,13:30,13:05,1,18h 45,1,IST,HND,VNO,1055,1125
1504,2024-05-17,2024-05-24,838,Turkish Airlines,11:35,07:55,2,38h 20,2,"IST, KIX",VNO,HND,Turkish Airlines,11:35,07:55,1,34h 15,2,"OSA, IST",HND,VNO,2300,2055
1505,2024-05-17,2024-05-24,1460,Lufthansa,06:00,08:10,1,20h 10,1,FRA,VNO,HND,ANA (All Nippon Airways),06:00,08:10,1,21h 30,1,FRA,HND,VNO,1210,1290
1506,2024-05-17,2024-05-24,1546,LOT,19:15,18:30,1,17h 15,1,WAW,VNO,NRT,Emirates + LOT,19:15,18:30,0,22h 15,2,"DXB, WAW",HND,VNO,1035,1335
1507,2024-05-17,2024-05-24,1378,airBaltic + Emirates,18:20,22:35,1,22h 15,2,"MUC, DXB",VNO,HND,Emirates + LOT,18:20,22:35,0,22h 15,2,"DXB, WAW",HND,VNO,1335,1335
1508,2024-05-17,2024-05-24,1160,Lufthansa,06:00,09:50,1,21h 50,1,FRA,VNO,HND,Lufthansa,06:00,09:50,1,31h 10,2,"MUC, FRA",HND,VNO,1310,1870
1509,2024-05-17,2024-05-24,1423,Lufthansa,06:00,09:50,1,21h 50,1,FRA,VNO,HND,ANA (All Nippon Airways),06:00,09:50,1,21h 30,1,FRA,HND,VNO,1310,1290
1510,2024-05-17,2024-05-24,1529,Finnair + Japan Airlines,10:10,13:05,1,20h 55,1,HEL,VNO,NRT,Japan Airlines + Lufthansa,10:10,13:05,0,19h 25,1,FRA,NRT,VNO,1255,1165
1511,2024-05-17,2024-05-24,838,Turkish Airlines,20:35,19:15,2,40h 40,2,"IST, OSA",VNO,HND,Turkish Airlines,20:35,19:15,1,33h 15,2,"KIX, IST",HND,VNO,2440,1995
1512,2024-05-17,2024-05-24,1672,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,Turkish Airlines,13:30,13:50,1,18h 45,1,IST,HND,VNO,1100,1125
1513,2024-05-17,2024-05-24,1565,British Airways + Japan Airlines,10:10,13:05,1,20h 55,1,HEL,VNO,NRT,Turkish Airlines,10:10,13:05,1,18h 45,1,IST,HND,VNO,1255,1125
1514,2024-05-17,2024-05-24,1586,Lufthansa + ANA (All Nippon Airways),13:40,16:45,1,21h 05,1,FRA,VNO,HND,ANA (All Nippon Airways) + Lufthansa,13:40,16:45,0,18h 10,1,FRA,HND,VNO,1265,1090
1515,2024-05-17,2024-05-24,1780,Turkish Airlines,20:35,19:20,1,16h 45,1,IST,VNO,HND,LOT,20:35,19:20,1,18h 20,1,WAW,NRT,VNO,1005,1100
1516,2024-05-17,2024-05-24,837,Turkish Airlines,20:35,19:15,2,40h 40,2,"IST, OSA",VNO,HND,Turkish Airlines,20:35,19:15,1,34h 15,2,"OSA, IST",HND,VNO,2440,2055
1517,2024-05-17,2024-05-24,1560,Lufthansa,06:00,08:10,1,20h 10,1,FRA,VNO,HND,ANA (All Nippon Airways),06:00,08:10,0,20h 15,1,FRA,HND,VNO,1210,1215
1518,2024-05-17,2024-05-24,1632,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,Qatar Airways + LOT,11:35,08:55,1,23h 30,2,"DOH, WAW",HND,VNO,920,1410
1519,2024-05-17,2024-05-24,1565,LOT,14:45,18:30,1,21h 45,1,WAW,VNO,NRT,Turkish Airlines,14:45,18:30,1,18h 45,1,IST,HND,VNO,1305,1125
1520,2024-05-17,2024-05-24,1596,Finnair + Japan Airlines,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,Emirates + LOT,13:30,13:05,0,22h 15,2,"DXB, WAW",HND,VNO,1055,1335
1521,2024-05-17,2024-05-24,1501,Lufthansa,13:40,16:45,1,21h 05,1,FRA,VNO,HND,ANA (All Nippon Airways),13:40,16:45,1,21h 30,1,FRA,HND,VNO,1265,1290
1522,2024-05-17,2024-05-24,1521,Lufthansa,06:00,09:50,1,21h 50,1,FRA,VNO,HND,ANA (All Nippon Airways),06:00,09:50,0,20h 15,1,FRA,HND,VNO,1310,1215
1523,2024-05-17,2024-05-24,1643,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,Emirates + LOT,11:35,08:55,1,23h 50,2,"DXB, WAW",NRT,VNO,920,1430
1524,2024-05-17,2024-05-24,1647,ANA (All Nippon Airways),13:40,16:45,1,21h 05,1,FRA,VNO,HND,ANA (All Nippon Airways),13:40,16:45,0,18h 10,1,FRA,HND,VNO,1265,1090
1525,2024-05-17,2024-05-24,1649,ANA (All Nippon Airways),13:40,16:45,1,21h 05,1,FRA,VNO,HND,Lufthansa,13:40,16:45,0,18h 10,1,FRA,HND,VNO,1265,1090
1526,2024-05-17,2024-05-24,1008,Scandinavian Airlines,15:50,07:55,2,34h 05,1,CPH,VNO,HND,Air China + Scandinavian Airlines,15:50,07:55,1,30h 10,2,"PVG, CPH",NRT,VNO,2045,1810
1527,2024-05-17,2024-05-24,1341,Lufthansa,19:30,08:10,2,30h 40,1,FRA,VNO,HND,Lufthansa,19:30,08:10,0,18h 10,1,FRA,HND,VNO,1840,1090
1528,2024-05-17,2024-05-24,1632,Turkish Airlines,20:35,19:20,1,16h 45,1,IST,VNO,HND,Qatar Airways + LOT,20:35,19:20,1,23h 30,2,"DOH, WAW",HND,VNO,1005,1410
1529,2024-05-17,2024-05-24,1166,airBaltic + Emirates,08:05,17:35,1,27h 30,2,"AMS, DXB",VNO,NRT,Emirates + airBaltic,08:05,17:35,0,29h,2,"DXB, MUC",HND,VNO,1650,1740
1530,2024-05-17,2024-05-24,1650,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,Qatar Airways,11:35,08:55,1,25h 10,2,"DOH, HEL",NRT,VNO,920,1510
1531,2024-05-17,2024-05-24,1377,Lufthansa,18:20,06:55,2,30h 35,1,MUC,VNO,HND,Lufthansa,18:20,06:55,0,18h 10,1,FRA,HND,VNO,1835,1090
1532,2024-05-17,2024-05-24,2119,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,Japan Airlines + Finnair,11:35,08:55,1,16h 35,1,HEL,NRT,VNO,920,995
1533,2024-05-17,2024-05-24,1328,LOT + Lufthansa,06:20,08:10,1,19h 50,2,"WAW, FRA",VNO,HND,Lufthansa,06:20,08:10,1,31h 10,2,"MUC, FRA",HND,VNO,1190,1870
1534,2024-05-17,2024-05-24,1367,airBaltic + Emirates,08:05,17:35,1,27h 30,2,"AMS, DXB",VNO,NRT,Emirates + LOT,08:05,17:35,0,22h 15,2,"DXB, WAW",HND,VNO,1650,1335
1535,2024-05-17,2024-05-24,1734,airBaltic + Japan Airlines,15:30,17:20,1,19h 50,1,CDG,VNO,HND,Japan Airlines + Lufthansa,15:30,17:20,0,19h 25,1,FRA,NRT,VNO,1190,1165
1536,2024-05-17,2024-05-24,1858,Finnair + Japan Airlines,13:30,13:50,1,18h 20,1,HEL,VNO,HND,LOT,13:30,13:50,1,18h 20,1,WAW,NRT,VNO,1100,1100
1537,2024-05-17,2024-05-24,1899,Finnair + Japan Airlines,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,LOT,13:30,13:05,1,18h 20,1,WAW,NRT,VNO,1055,1100
1538,2024-05-17,2024-05-24,1368,Lufthansa,18:20,06:55,2,30h 35,1,MUC,VNO,HND,Lufthansa,18:20,06:55,0,19h 25,1,MUC,HND,VNO,1835,1165
1539,2024-05-17,2024-05-24,1368,Lufthansa,06:00,06:55,1,18h 55,2,"FRA, MUC",VNO,HND,Lufthansa,06:00,06:55,1,31h 10,2,"MUC, FRA",HND,VNO,1135,1870
1540,2024-05-17,2024-05-24,1342,LOT + Lufthansa,14:45,16:45,1,20h,2,"WAW, FRA",VNO,HND,Lufthansa,14:45,16:45,1,31h 10,2,"MUC, FRA",HND,VNO,1200,1870
1541,2024-05-17,2024-05-24,1709,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,Qatar Airways,11:35,08:55,1,24h 50,2,"DOH, HEL",HND,VNO,920,1490
1542,2024-05-17,2024-05-24,1913,Finnair,13:30,13:05,1,17h 35,1,HEL,VNO,NRT,LOT,13:30,13:05,1,18h 20,1,WAW,NRT,VNO,1055,1100
1543,2024-05-17,2024-05-24,1382,Lufthansa,19:30,08:10,2,30h 40,1,FRA,VNO,HND,Lufthansa,19:30,08:10,0,19h 25,1,MUC,HND,VNO,1840,1165
1544,2024-05-17,2024-05-24,838,Turkish Airlines,11:35,19:15,2,49h 40,2,"IST, OSA",VNO,HND,Turkish Airlines,11:35,19:15,1,33h 15,2,"KIX, IST",HND,VNO,2980,1995
1545,2024-05-17,2024-05-24,1715,ANA (All Nippon Airways),13:40,16:45,1,21h 05,1,FRA,VNO,HND,ANA (All Nippon Airways) + Lufthansa,13:40,16:45,0,19h 25,1,MUC,HND,VNO,1265,1165
1546,2024-05-17,2024-05-24,2190,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,Finnair,11:35,08:55,1,16h 35,1,HEL,NRT,VNO,920,995
1547,2024-05-17,2024-05-24,1341,Lufthansa,19:30,08:10,2,30h 40,1,FRA,VNO,HND,Lufthansa,19:30,08:10,1,21h 30,1,FRA,HND,VNO,1840,1290
1548,2024-05-17,2024-05-24,1913,Finnair,13:30,13:50,1,18h 20,1,HEL,VNO,HND,LOT,13:30,13:50,1,18h 20,1,WAW,NRT,VNO,1100,1100
1549,2024-05-17,2024-05-24,837,Turkish Airlines,11:35,19:15,2,49h 40,2,"IST, OSA",VNO,HND,Turkish Airlines,11:35,19:15,1,34h 15,2,"OSA, IST",HND,VNO,2980,2055
1550,2024-05-17,2024-05-24,2120,Turkish Airlines,20:35,19:20,1,16h 45,1,IST,VNO,HND,Japan Airlines + Finnair,20:35,19:20,1,16h 35,1,HEL,NRT,VNO,1005,995
1551,2024-05-17,2024-05-24,1716,Turkish Airlines,11:35,08:55,1,15h 20,1,IST,VNO,NRT,Singapore Airlines + Lufthansa,11:35,08:55,1,25h 55,2,"SIN, FRA",HND,VNO,920,1555
